address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,business_id,name,byob,bikeparking,businessacceptsbitcoin,businessacceptscreditcards,byappointmentonly,caters,coatcheck,corkage,dogsallowed,drivethru,goodfordancing,goodforkids,happyhour,hastv,open24hours,outdoorseating,restaurantscounterservice,restaurantsdelivery,restaurantsgoodforgroups,restaurantsreservations,restaurantstableservice,restaurantstakeout,smoking,wheelchairaccessible,alcohol_false,alcohol_beer_and_wine,alcohol_full_bar,byobcorkage_false,byobcorkage_yes_corkage,byobcorkage_yes_free,noiselevel_average,noiselevel_loud,noiselevel_quiet,noiselevel_very_loud,restaurantsattire_casual,restaurantsattire_dressy,restaurantsattire_formal,restaurantsattire_no_dress_code,restaurantspricerange2_$10_and_under,restaurantspricerange2_$11_to_30,restaurantspricerange2_$31_to_60,restaurantspricerange2_$61_and_over,wifi_false,wifi_free,wifi_paid
1115 N Brevard St,Charlotte,NC,28206,35.2339090889,-80.8276032284,4.5,97,1,dQOnVrU5O0tSY5ZS8t3ScA,Optimist Hall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
727 W Camelback Rd,Phoenix,AZ,85013,33.5089602511,-112.083414397,4.5,252,0,75vRgse6O3P4GL_vi3Xr9Q,Taqueria Los Yaquis,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"9915 W Mcdowell Rd, Ste 107",Avondale,AZ,85392,33.464155,-112.273199,4,177,1,ExLXL_oQvI7oPB7TrVpGhg,Pieology Pizzeria,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1721 N Dysart Rd, Ste A101",Avondale,AZ,85392,33.4668272613,-112.3383037215,4.5,68,1,VZi_uXh96DFzxY2AirgZYQ,We Olive & Wine Bar,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
16740 Royalton Rd,Strongsville,OH,44136,41.314452,-81.81766,3.5,161,1,9QiUKGLa4tJlQrV-LiPIbw,Rosewood Grill,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1470 N 8th St,Avondale,AZ,85323,33.4493172,-112.3415781,1,51,1,6R_g0Lrr-dOwSx5qxR2vHQ,KFC,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
494 Commerce Dr,Madison,WI,53719,43.055358,-89.523305,3.5,111,1,JfGnBe_IGDV0RZjAADp4yA,Yola's Cafe,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1 S Pinckney St,Madison,WI,53703,43.0752894562,-89.3823600336,4.5,258,1,ubEa6XiMt6gOJ9xsUkbpEw,L'Etoile,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
1035 N Ellsworth Rd,Mesa,AZ,85207,33.4349770493,-111.631325755,3.5,79,1,Uz1ZV1J-zF7VqH8QKUUNOw,Rosati's Pizza,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7530 W Washington,Las Vegas,NV,89128,36.181734,-115.256469,2,86,1,7kXrUSjG67NitjRfRFn9cw,McDonald's,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3790 Las Vegas Blvd S,Las Vegas,NV,89109,36.102766,-115.174246,4,56,1,TRlBYLf4CxFBaGE-9FLOtA,Greenwich Village Coffee,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
4251 Northern Pike,Monroeville,PA,15146,40.4341319,-79.756095,3.5,172,1,zUE7mWTE5Ee8adPD1eWbUg,Gateway Grill,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
14356 Pearl Rd,Strongsville,OH,44136,41.3104029,-81.8358203,3,74,1,T3xarRKQzQ8_bOdsEQDiZA,Raising Cane's Chicken Fingers,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6700 Fairview Rd,Charlotte,NC,28210,35.147139,-80.828793,4,545,1,tCSlpwJQ4CZsUEMZeH2SFg,Cafe Monte,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
221 Schenley Dr,Pittsburgh,PA,15213,40.442777,-79.953151,3.5,650,1,Eg_M8eeu9SDEdbP7iUmVbQ,The Porch at Schenley,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
551-553 Danforth Avenue.,Toronto,ON,M4K 1P7,43.6780808318,-79.3475472609,3.5,53,0,9c-JiFCUpA2Y6yZlBlS7xg,8 Sushi,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
9800 W Happy Valley Rd,Peoria,AZ,85383,33.7118664044,-112.2702986773,3,98,1,cCFWegvTavai-oOE4C4sDA,Village Inn - North Peoria,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1126 Fremont St,Las Vegas,NV,89101,36.1657411,-115.1329505,4.5,1121,1,0EgYXYjt2XJL4hlsKnzrcw,PublicUs,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
930 Dixon Rd,Etobicoke,ON,M9W 1J9,43.686862,-79.597293,3,73,1,v4dMYtyjeYmx_YAanhsFjw,Lone Star Texas Grill,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"750 S Rampart Blvd, Ste 7",Las Vegas,NV,89117,36.164058,-115.2897778,4,570,1,RRw9I8pHt5PzgYGT2QeODw,Grimaldi's Pizzeria,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
4500 W Tropicana Ave,Las Vegas,NV,89103,36.1021857409,-115.2014994621,3,136,0,2Y0-nrSZNsLRStyupZgM7g,Courtyard Cafe,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"103 W Broadway, Ste B",Monona,WI,53716,43.047948,-89.326061,4,56,1,vrdrPE_IczDTL5aM5f-Tqg,Mr. Brews Taphouse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1817 E Baseline Rd,Tempe,AZ,85283,33.378262,-111.906901,3.5,149,1,44vEjV59_w0cm_Lhyif3bQ,Senor Taco,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2411 W Sahara Ave,Las Vegas,NV,89102,36.1429464,-115.1749359,4,213,1,Z0o7EnCj3fgzC7E3QRabhQ,Little Tony's,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"14175 W Indian School Rd, Ste A4",Goodyear,AZ,85395,33.484154,-112.363139,3.5,214,1,nDfN1RkA40anfzjFGRO8qQ,Bella Luna Ristorante,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
490 McNicoll Avenue,North York,ON,M2H 2E1,43.8040322985,-79.3408152963,3.5,52,1,qsCoUN2TRL47ucTzo9D6xA,Yoko Japanese Restaurant,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
115 E Tropicana Ave,Las Vegas,NV,89109,36.0993459,-115.167874,3,160,0,nuT8Bgfz7HTJQqbJFddkBw,Mad Onion,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
7480 W Lake Mead Blvd,Las Vegas,NV,89128,36.1964536,-115.2576658,2.5,59,1,vUYz-JgVTAtUGUbQuF7czw,Del Taco,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1806 Windsor Sq Dr,Matthews,NC,28105,35.133926,-80.71005,4,96,1,RV657EzugeDNfHaRFZYa_A,Ben Thanh Restaurant,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7500 E Doubletree Ranch Rd,Scottsdale,AZ,85258,33.5666604,-111.9185781,4,529,1,Ycn-l-X6joxbVQzgxjXpRQ,Hyatt Regency Scottsdale Resort & Spa at Gainey Ranch,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
"3242 E Desert Inn Rd, Ste 17",Las Vegas,NV,89121,36.1302895,-115.1033497,4.5,149,1,HsrEbWCg8K06pUhx469uSw,Donut Hut,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
10056 E Independence Blvd,Matthews,NC,28105,35.1302942813,-80.7118407022,4,155,1,LGOnnrjU50YtT066RP_J3g,Bonefish Grill,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"8470 W Desert Inn Rd, Ste H-1",Las Vegas,NV,89117,36.129857,-115.275526,4,1047,1,DYAorbxOyubUB_wtQRCdug,MadHouse Coffee,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
4516 Charlotte Hwy,Clover,SC,29710,35.116159911,-81.0552788526,4,207,1,yjMmDcNcqFn1tY2C7lXPlw,Copper Premium Pub,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"2250 E Tropicana Ave, Ste 20",Las Vegas,NV,89119,36.1013621,-115.1203282,5,65,0,VONg0lyHm7fUdARWjkkjCQ,Las Enchiladas Demama,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"4275 N Rancho Dr, Ste 130",Las Vegas,NV,89130,36.2371316,-115.2311905,4,637,1,h3pMMRwqBjMeMtk0_qQzRQ,Mezzo Bistro and Wine,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
15456 N 99th Ave,Sun City,AZ,85351,33.6234835,-112.2711489,3,74,1,HCAbEk6hZFpJNwvAnUREdA,Paulie's Little Bite of Italy,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10 Old Clairton Rd,Pittsburgh,PA,15236,40.3398124,-79.9654559,4,110,1,rlFEKTaUgQqN4O9ow3LO9w,Atria's,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7060 S Rainbow Blvd,Las Vegas,NV,89118,36.0603197442,-115.2416230813,3.5,352,1,BhueLLvA0k9G1Lr0WeZX9w,Café Zupas,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1339 E Northern Ave,Phoenix,AZ,85020,33.5527841,-112.0532028,4.5,194,1,SxqNnm4piAlFNNiBaXM0kg,Dilla Libre Uno,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1830 E Carson St,Pittsburgh,PA,15203,40.4284659,-79.9793686,4.5,268,1,qQvHYQ1uocuEnFcUdhxV_g,The Pub Chip Shop,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4525 N Rancho Dr,Las Vegas,NV,89130,36.2417788,-115.2353452,2.5,77,1,pCVQq3jzfrT2CNHAIMMy0g,Fatburger,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1315 N Broome St,Waxhaw,NC,28173,34.935156,-80.751353,4,149,1,c1Hn42hWBx_UUa9vjjYWog,Stack's Kitchen,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7050 W Ray Rd,Chandler,AZ,85226,33.3204548,-111.9641591,4,193,1,ydhgMcBh4A_eihzEAg9LLQ,In-N-Out Burger,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1665 E Main St,Kent,OH,44240,41.1551215,-81.3338391,4,79,1,c6ed3FFQjKUb4vHOjHCcfA,Wild Papaya Thai Cuisine,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
3939 E Campbell Ave,Phoenix,AZ,85018,33.5021572,-111.9963105,4.5,1307,1,u-SJ5QUwrNquL9VnXwl8cg,Postino Arcadia,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
93 Ossington Avenue,Toronto,ON,M6J 2Z2,43.6463531,-79.4191781,3.5,128,1,Ww-qDl1G9Kr7igS3ouA_Cw,Boehmer,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
333 Bay Street,Toronto,ON,M5H 2R2,43.6503406,-79.3805207,4.5,116,1,uEDTiYtWzFtJdJqRcPq8Lw,deKEFIR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"860 E Warner Rd, Ste 102",Gilbert,AZ,85296,33.3369054333,-111.7717713333,3.5,144,1,tK-PQOhZo94fonbQVXaOSg,King Wok,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
791 Dundas Street W,Toronto,ON,M6J 1V2,43.6518201,-79.4077955,4,107,1,esnvHQxunLTAckQpntqbCg,Stelvio,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10438 N Fort McDowell Rd,Fort McDowell,AZ,85264,33.5816604,-111.6827725,3,53,1,dNuaZmTY7qqRN4glp7AVdA,Ahnala Mesquite Room,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2520 E Craig Rd,North Las Vegas,NV,89032,36.2406193,-115.1164485,3.5,154,1,IU55VgrpLzVKo9sXWbTn3Q,Five Guys,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
18 W Pacific Ave,Henderson,NV,89015,36.033461,-114.9855568,4,61,1,7x_pjvqK2E2NTis8j8plqg,Pacific Diner,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6107 7th St,Phoenix,AZ,85014,33.5258784,-112.0644861,3.5,636,0,BOD0yRkakyxXzJmbVVAxSA,Camp Social,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2820 S Alma School Rd,Chandler,AZ,85286,33.2648230964,-111.8591107156,3,99,1,4p20MVzGXNrma7W_bt0Njw,Tom's BBQ,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2501 Central Ave,Charlotte,NC,28205,35.219612,-80.8,4,483,1,yesClkCZlpLGTYZROkx4SA,Krazy Fish,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"7001 N Scottsdale Rd, Ste 171",Scottsdale,AZ,85253,33.539389,-111.9236706253,4,313,1,Q0EZmATxDphzRMszNV2LVg,Wildflower,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"3400 S Jones Blvd, Ste 6",Las Vegas,NV,89146,36.127704971,-115.2240540365,4.5,643,1,IVnGPHdTyu_GbLo9mXj98w,Ramen Tatsu,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3730 Las Vegas Blvd S,Las Vegas,NV,89109,36.1073254139,-115.1765789611,4,1489,1,Xj7DIGRHEchJ-VVdISazQQ,Javier's,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2104 Murray Ave,Pittsburgh,PA,15217,40.4333842482,-79.9231549469,4,97,1,S-WbBty-kGOO3Fmwx3Jmlw,Pink Box Bakery Cafe,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"2515 N Scottsdale Rd, Ste 18",Scottsdale,AZ,85257,33.475411,-111.925542,4.5,153,1,IJx1rrQPU5vNxCgV3f4MYA,Atlas Bistro,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"1949 E Camelback Rd, Ste 160",Phoenix,AZ,85016,33.507557,-112.040116,4,144,0,nfdNvM0HFCDmnJ5eHMnuNg,Miracle Mile Delicatessen,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"Mandalay Bay Resort and  Casino, 3950 S Las Vegas Blvd",Las Vegas,NV,89109,36.0918639,-115.1751614,3.5,119,0,G58YATMKnn-M-RUDWg3lxw,THEcafe at THEhotel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4325 E Thomas,Phoenix,AZ,85018,33.4799388,-111.9883724,3.5,229,1,TT2bNjvnVNFOanDNYnAffQ,Raising Cane's,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
3600 S Las Vegas Blvd,Las Vegas,NV,89109,36.11199,-115.177001,4,681,1,-3zffZUHoY8bQjGfPSoBKQ,Michael Mina,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1915 Branch St,Middleton,WI,53562,43.0969225,-89.4947044,3,54,1,9e9AW5qdxhWNrK2uhNCkAQ,Club Tavern & Grille,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5725 Losee Rd,North Las Vegas,NV,89081,36.2637787,-115.1176264,3,78,1,4tXc7FrMmgi4iI8TJ2NR0g,Wingstop,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"2600 W Sahara Ave, Ste 119",Las Vegas,NV,89102,36.1452628,-115.1766418,4.5,181,1,A22VviMhaGplsabsXhxBTg,Tomi Ramen,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5221 Boulevard de Maisnneuve O,Montréal,QC,H4A 0A4,45.473577,-73.60512,4,57,1,6fPij_e83qj9OUgMvujkwg,Pick Thaï,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3320 S Priest Dr,Tempe,AZ,85282,33.3913585246,-111.9612970819,3,117,1,l9B72QwKjUhEA-pLumCa5w,Golden Egg Roll,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5507 Detroit Ave,Cleveland,OH,44102,41.4852245,-81.7249993,3.5,134,1,Tal9LqH3fvSDiF_-YDnfEg,Indian Delight,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
11059 Carolina Place Pkwy,Pineville,NC,28134,35.0814977,-80.8772267,3.5,135,1,U5sBiEbdqGxNm4LYfQZufA,Harper's Restaurant,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"1489 S Higley Rd, Ste 103",Gilbert,AZ,85296,33.3234736,-111.7205343,4,143,0,5S4qWTntF4S-JNTbPNyYPw,Bold Roost Espresso Bar and Cafe,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
926 E Guadalupe Rd,Tempe,AZ,85283,33.364198,-111.927609,4.5,120,1,oWxiT2PasutHFyZp8Yh2mA,Salazar Bros Mexican Food,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
"4722 E Cactus Rd, Ste D-119",Phoenix,AZ,85032,33.5986921,-111.9783076,2.5,80,1,Erbz-7a640y96r2oOjSf4g,Dickey's Barbecue Pit,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
189 Harbord Street,Toronto,ON,M5S 1H5,43.6616759,-79.4083467,3.5,69,1,tM_A6uLiKvUCKSdSZxYLYw,Pizza Gigi,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
6595 N Hollywood Blvd,North Las Vegas,NV,89115,36.2797054389,-115.0261054163,3.5,66,1,3-IoSBy9vRKP2MWZwlf6wA,Iron Skillet,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
4899 Yonge Street,Toronto,ON,M2N 5N4,43.7639042111,-79.4111878641,3.5,238,1,_81fRJ9m8Fn1s8ixPun46A,Union Social Eatery,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
947 Penn Ave,Pittsburgh,PA,15222,40.4444445,-79.996451,3.5,56,0,XgkTmVrlHHO5g96AfOAfpw,Le Lyonnais,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
870 N Cleveland Massillon Rd,Akron,OH,44333,41.159012,-81.63735199999999,4,166,1,j4wpoS_ywTCRJBARN2tXTg,Gasoline Alley,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
